MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,TASA_TURISTICA_FINALIDAD#es,TASA_TURISTICA_FINALIDAD_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,24.53,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,39938,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,25.13,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 35 a 54 años,Y35T54,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,35060,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Total,_T,239241,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Total,_T,108559,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Total,_T,130681,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,23.56,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,56373,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,19.13,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,20762,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,27.25,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,35611,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,15.26,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,36515,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,15.82,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,17179,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,14.80,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,19336,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,28.28,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,67646,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,29.70,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,32246,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,27.09,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,35401,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.26,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,12585,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,10.34,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,11230,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1.04,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1354,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,27.64,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,66122,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,25.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,27142,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,29.83,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,De 18 a 34 años,Y18T34,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,38980,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Total,_T,827751,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Total,_T,377072,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Total,_T,450679,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,28.98,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,239882,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,29.04,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,109517,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,28.93,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,130364,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,12.90,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,106773,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,12.11,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,45668,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,13.56,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,61105,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,22.76,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,188386,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,24.31,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,91673,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,21.46,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,96713,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.19,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,42930,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,6.21,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,23397,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,4.33,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,19532,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,30.18,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,249780,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,28.33,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Hombres,M,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,106816,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,31.72,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Canarias,ES70,Mujeres,F,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,142964,,,
